85,295516,2020-01-26,EMIM NA,IE00BKM4GZ66,,1900-01-01,0,EUR,27.454,9900,1,1,271794.6,271794.6,248589,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0
86,295516,2020-01-26,GOVS FP,IE00B6YX5F63,,1900-01-01,0,EUR,52.421,1536,1,1,80518.66,80518.66,81091.14,Aandelen Frankrijk,164962,SPDR Barclays 1-3 Year Euro Gov Bd,0
87,295516,2020-01-26,IE15,IE00B4L60045,,1900-01-01,0,EUR,111.47,728,1,1,81150.16,81150.16,79338.7,Aandelen Engeland,134188,iShares Euro Corporate Bd 1-5yr,0
88,295516,2020-01-26,IE15,,DIV,1900-01-01,0,EUR,0.3403,728,1,1,247.74,247.74,247.74,Dividenden,,Div. iShares Euro Corporate Bd 1-5yr,0
89,295516,2020-01-26,IEAN,IE00B3F81R35,,1900-01-01,0,EUR,134.52,616,1,1,82864.32,82864.32,78014.76,Aandelen Nederland,130240,iShares CORE EURO CORP BOND UCITS (NL),0
90,295516,2020-01-26,IEAN,,DIV,1900-01-01,0,EUR,0.5846,616,1,1,360.11,360.11,360.11,Dividenden,,Div. iShares CORE EURO CORP BOND UCITS,0
91,295516,2020-01-26,ISSP,IE0031442068,,1900-01-01,0,EUR,29.966,9990,1,1,299360.34,299360.34,220028.87,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0
92,295516,2020-01-26,TAT NA,NL0010273801,,1900-01-01,0,EUR,21.466,3411,1,1,73220.53,73220.53,83150.77,Aandelen Nederland,155704,VanEck iBoxx EUR Sov Capped AAA-AA 1-5,0
93,295516,2020-01-26,VEUR NA,IE00B945VV12,,1900-01-01,0,EUR,33.18,8240,1,1,273403.2,273403.2,220847.84,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
94,295516,2020-01-26,USD,,,1900-01-01,0,USD,0,6.07,1.1028799999999999,0,5.5,6.07,0,,0,,0
95,295516,2020-01-26,EUR,,,1900-01-01,0,EUR,0,2182.5,1,0,2182.5,2182.5,0,,1234,,0
63,295516,2020-07-28,AEX,,PUT,2020-12-18,530,EUR,21.69,14,1,100,30366,30366,35210,Indexopties,103242,AEX P DEC 2020 530.00,0
64,295516,2020-07-28,EMIM NA,IE00BKM4GZ66,,1900-01-01,0,EUR,25.135,10924,1,1,274574.74,274574.74,272366.28,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0
65,295516,2020-07-28,GOVS FP,IE00B6YX5F63,,1900-01-01,0,EUR,52.346,1536,1,1,80403.46,80403.46,81091.14,Aandelen Frankrijk,164962,SPDR Barclays 1-3 Year Euro Gov Bd,0
66,295516,2020-07-28,IE15,IE00B4L60045,,1900-01-01,0,EUR,110.65,728,1,1,80553.2,80553.2,79338.7,Aandelen Engeland,134188,iShares Euro Corporate Bd 1-5yr,0
67,295516,2020-07-28,IE15,,DIV,1900-01-01,0,EUR,0.3242,728,1,1,236.02,236.02,236.02,Dividenden,,Div. iShares Euro Corporate Bd 1-5yr,0
68,295516,2020-07-28,IEAN,IE00B3F81R35,,1900-01-01,0,EUR,133.48,616,1,1,82223.68,82223.68,78014.76,Aandelen Nederland,130240,iShares CORE EURO CORP BOND UCITS (NL),0
69,295516,2020-07-28,IEAN,,DIV,1900-01-01,0,EUR,0.5659,616,1,1,348.59,348.59,348.59,Dividenden,,Div. iShares CORE EURO CORP BOND UCITS,0
